,Star_name,Distance,Mass,Radius,Gravity
0,Sun,1.5813e-05,1.0,1.0,274.2691614595739
1,Sirius,8.6,2.1,1.71,196.971799550325
2,Canopus,310.0,15.0,71.0,0.8161153386021839
3,Alpha Centauri,4.4,1.1,1.2,209.51116500384123
4,Arcturus,37.0,1.1,26.0,0.44629597278924754
5,Vega,25.0,2.2,2.7,82.76984296448046
6,Capella,43.0,2.6,12.0,4.952082081908975
7,Rigel,860.0,23.0,78.9,1.01332978543217
8,Procyon,11.4,1.5,1.9,113.9622554541166
9,Betelgeuse,640.0,20.0,950.0,0.006077986957552885
10,Achernar,144.0,6.7,9.3,21.2464259657665
11,Hadar,390.0,10.5,8.6,38.937617567949246
12,Altair,17.0,1.8,1.8,152.37175636642996
13,Acrux,320.0,18.0,8.9,62.326030883377484
14,Aldebaran,65.0,1.5,44.0,0.21250193294905007
15,Antares,600.0,12.0,680.0,0.0071177118025840995
16,Spica,260.0,11.43,7.47,56.18003500809
17,Pollux,34.0,1.9,8.8,6.729227876719916
18,Fomalhaut,25.0,1.9,1.8,160.8368539423427
19,Deneb,2600.0,19.0,203.0,0.12645572733460908
20,Mimosa,350.0,16.0,8.4,62.19255361895101
21,Regulus,77.0,3.8,3.1,108.45190567600218
22,Adhara,430.0,12.5,14.0,17.491655705329972
23,Shaula,700.0,14.5,8.8,51.354633796020416
24,Castor,52.0,2.8,2.4,133.3252868206262
25,Gacrux,88.0,1.5,84.0,0.058305519017766566
26,Bellatrix,240.0,8.6,5.8,70.11637302474244
27,Elnath,130.0,5.0,4.2,77.74069202368877
28,Miaplacidus,110.0,3.5,6.8,20.759992757536956
29,Alnilam,2000.0,32.0,42.0,4.975404289516081
30,Gamma Velorum,1100.0,9.0,6.0,68.56729036489348
31,Alnair,101.0,4.0,3.4,94.90282403445465
32,Alioth,81.0,2.9,4.2,45.08960137373948
33,Alnitak,1050.0,33.0,20.0,22.62720582041485
34,Dubhe,120.0,4.25,30.0,1.2951599291146547
35,Mirfak,590.0,8.5,68.0,0.5041712526830403
36,Wezen,1600.0,17.0,200.0,0.11656439362031894
37,Sargas,270.0,5.7,26.0,2.3126245862715553
38,Kaus Australis,140.0,3.5,6.8,20.759992757536956
39,Avior,630.0,9.0,130.0,0.14606050018557193
40,Alkaid,104.0,6.1,3.4,144.72680665254333
41,Menkalinan,81.0,2.39,2.77,85.43097080483021
42,Atria,390.0,7.0,92.0,0.22682941046987445
43,Alhena,109.0,2.8,3.3,70.51915997124031
44,Peacock,180.0,5.9,4.8,70.23385645015132
45,Alsephina[2],80.0,2.4,2.9,78.26943965552645
46,Mirzam,500.0,13.5,10.0,37.02633679704249
47,Polaris,430.0,5.4,39.0,0.973736667903813
48,Alphard,180.0,3.0,50.0,0.32912299375148873
49,Scheat,196.0,2.1,95.0,0.0638188630543053
50,Almaaz,653.0,15.0,140.0,0.20989986846395964
51,Rasalgethi,360.0,2.8,280.0,0.009795327194984781
52,Tau Ceti,11.9,0.7829999999999999,0.893,269.2996711047934
53,Delta Pavonis,19.92,0.991,1.22,182.61269753187165
54,Ran,10.48,0.82,0.74,410.70254272616984
55,V382 Carinae,8900.0,20.0,485.0,0.023319728894426524
56,Eta Carinae,7500.0,100.0,881.0,0.035336632665075154
57,Delta Cephei,887.0,4.5,44.5,0.6232603088337749
58,Mu Cephei,6000.0,19.2,972.0,0.005573726798954914
59,Titawin,44.25,1.27,1.48,159.02202111653529
60,Rho Cassiopeiae,8154.0,22.0,800.0,0.009428002425172855
61,P Cygni,5545.0,30.0,76.0,1.4245281931764575
62,VV Cephei,4900.0,18.2,750.0,0.008874131090780881
63,61 Cygni,11.41,0.7,0.665,434.1419255394917
64,R Doradus,178.0,0.8,298.0,0.00247078204999391
65,Polaris Australis,281.0,1.59,3.74,31.176754176608036
66,R Coronae Borealis,4566.0,0.85,85.0,0.032266960171714584
67,54 Piscium,36.1,0.76,0.94,235.9037604224493
68,Mira,300.0,1.2,370.0,0.00240411244522636
69,RW Cephei,14000.0,13.9,1158.0,0.0028429856016179986
70,Lacaille 8760,12.87,0.6,0.51,632.685493563031
71,V838 Monocerotis,19896.0,0.5,450.0,0.0006772078060730221
72,HD 140283,190.0,2.0,1.4,279.8664912852796
73,II Pegasi,130.0,0.8,3.4,18.98056480689093
74,VY Canis Majoris,3900.0,17.0,1420.0,0.0023123267927061875
75,Pistol Star,25000.0,100.0,320.0,0.2678409779878652
76,S Doradus,169000.0,24.0,380.0,0.04558490218164664
77,UY Scuti,5100.0,7.0,755.0,0.0033680700499399458
78,Barnard's Star,5.98,0.14,0.2,959.9420651085089
79,Luhman 16,6.52,0.04,0.02,27426.9161459574
80,Proxima Centauri,4.25,0.12,0.15,1462.7688611177277
81,KIC 8462852,1470.0,1.43,1.58,157.10819615734286
82,R136a1,163000.0,290.0,32.0,77.67388361648091
83,Melnick 42,163000.0,189.0,21.1,116.4324060911917
84,WR 102,18134.0,19.0,0.39,34261.104981800825
85,VFTS 352,164000.0,57.48,14.47,75.29335961731135
86,YBP 1194,2772.0,1.01,0.99,282.6363157577489
87,Gliese 1214,47.5,0.16,0.21,995.0808579032163
88,NML Cygni,5251.0,50.0,1900.0,0.0037987418484705534
89,VB 10,18.72,0.075,0.1,2057.0187109468043
90,WOH G64,163000.0,20.0,1600.0,0.0021427278239029217
91,TRAPPIST-1,39.6,0.08900000000000001,0.12,1695.1357895765336
92,2MASS J0523-1403,40.3,0.07,0.086,2595.841171196618
93,WISE 0855−0714,7.27,0.003,0.086,111.25033590842646
94,Icarus,14400000000.0,33.0,0.2,226272.05820414852
95,SDSS J000013.54+255418.6 [de],46.1,0.04582022400000001,0.10173537,1214.200056936461
